Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,      0,     0.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.NamespaceMetaModel).gremlin().has(namespaceURI,EQUALS,http://java.sun.com/xml/ns/persistence).as(default)"
     1,      0,     0.00, Query.as(e7ba7799-fa85-47ec-adf1-06265ee94dec)
   125,    436,     3.49, JavaClass.evaluate
     1,     32,    32.00, Query.fromType(org.jboss.windup.graph.model.resource.SourceFileModel).gremlin()org.jboss.windup.reporting.query.FindSourceReportFilesGremlinCriterion@7e0d4ba1.as(default)
    87,    186,     2.14, Hint.performParameterized
     1,      0,     0.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[IMPLEMENTS_TYPE]).as(b83609b0-e5d1-446d-b579-5e4996ffc5d3)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,weblogic-ejb-jar).as(default)"
     1,     49,    49.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.5.html)"
     1,     18,    18.00, getTechnologyTagsForProject
     1,      1,     1.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(fileName,EQUALS,pom.xml).as(default)"
     1,      0,     0.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[IMPLEMENTS_TYPE, INHERITANCE]).as(5c167606-a019-42a4-81dc-31b822fe899b)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(fileName,EQUALS,ibm-webservicesclient-bnd.xmi).has(rootTagName,EQUALS,ClientBinding).as(default)"
     1,      5,     5.00, Query.fromType(org.jboss.windup.graph.model.ArchiveModel).gremlin()org.jboss.windup.config.query.Query$1@7db4c883.as(default)
     1,    104,   104.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AnvilWebStartupListener_java.html)"
    13,      1,     0.08, GraphService.findAllByPropertyMatchingRegex(fileName)
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.java.model.WindupJavaConfigurationModel).as(default)
     1,     81,    81.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AnvilWebLifecycleListener_java.html)"
   118,     42,     0.36, "TypeReferenceService.createTypeReference(fileModel,location,lineNumber,columnNumber,length,source)"
     1,     24,    24.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.6.html)"
     1,      1,     1.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.RemoteServiceModel).as(default)
     1,      1,     1.00, "Query.fromType(org.jboss.windup.rules.apps.java.model.WindupJavaConfigurationModel).gremlin().has(classNotFoundAnalysisEnabled,EQUALS,true).as(default)"
     4,      1,     0.25, GraphService.findAllByProperty(JNDI_LOCATION)
   539,     11,     0.02, "GraphService.findAllByProperties([coordinate:groupId, coordinate:artifactId, coordinate:version])"
